10000 200000
2 6334 8556
2 5558 3169
1 7248 9255
1 9041 9415
2 729 1246
2 327 9260
2 3292 4799
2 1087 961
2 9535 2134
2 79 2443
2 3342 8132
1 837 1390
1 2438 8217
1 4896 9909
1 9663 5897
2 9416 2460
2 8686 2917
2 677 4836
2 862 6276
2 605 1619
1 6168 3039
2 4006 6337
2 5799 8232
1 2967 1155
1 1720 6940
2 1062 7035
1 6744 423
2 119 3309
2 5008 3383
2 6904 6224
2 9514 8660
2 1419 3705
2 5581 1552
1 4443 1066
2 867 1683
1 9429 8803
1 6622 3668
1 5952 5794
2 1552 3313
2 7572 6714
2 3109 6322
1 6765 2907
1 9862 3016
1 5784 4438
2 2494 5776
1 6192 9059
1 9536 8573
2 5777 4244
2 9525 5389
1 7411 718
1 1929 3137
2 1290 4773
2 1843 2028
1 3541 123
1 6286 8191
1 2253 524
1 584 265
1 6822 9510
2 3024 8913
1 585 4431
1 6025 7324
2 9972 2995
2 8496 2719
1 4082 1477
2 9632 1593
1 9580 6906
2 1764 66
1 8515 9063
1 6038 8880
2 1003 1488
2 3800 5278
2 676 7349
1 8964 8434
2 6630 5049
1 4996 4603
2 292 1678
1 7792 5794
2 1855 6960
1 592 8738
1 3173 6482
2 3077 6251
2 6874 4116
2 5837 7241
2 2515 4463
2 7382 954
2 7472 6698
2 5226 5000
2 6619 6190
2 2470 6154
2 9132 7465
1 194 3557
2 86 9613
2 2764 7269
2 4585 517
2 1327 8336
2 9191 8605
1 8541 1479
2 9499 2456
1 6481 1314
2 5309 788
1 7026 2746
1 4519 6169
2 9262 2647
1 2246 7609
1 5924 6162
1 4077 6065
2 9156 3921
2 1695 7489
2 9031 6516
1 551 2143
2 6555 7973
1 6984 1469
2 4013 4264
2 3656 4268
1 4150 1094
1 4331 4434
2 1629 3669
2 5060 5908
2 2617 5950
1 7361 8707
1 1513 4215
2 3396 7086
2 58 3968
1 9497 5248
1 2299 8851
1 449 1054
2 2842 3356
1 9209 3564
1 935 4667
2 6333 6329
2 3029 2707
2 6066 2945
1 2602 5345
